Program Date 	Film Title 	Director 	Year
  	The Scarlet Letter 	Sjöström, Victor 	1926
  	Way Down East 	Griffith, D.W. 	1920
5/23/58 	Orphans of the Storm 	Griffith, D.W. 	1922
6/17/58 	Lady Windermere's Fan 	Lubitsch, Ernst 	1925
  	Night of Love 	Fitzmaurice, George 	1927
  	Beau Geste 	Brenon, Herbert 	1927
  	Lost Horizon 	Capra, Frank 	1937
  	The Prisoner of Zenda 	Cromwell, John 	1937
6/24/58 	Skinner's Dress Suit 	Seiter, William A. 	1926
  	Liberty AKA Criminals at Large 	McCarey, Leo 	1929
  	Three Little Pigs 	Gillett, Burt 	1933
  	Hollywood Extra Girl 	Moulton, Herbert 	1935
  	Putting Pants on Philip 	Bruckman, Clyde 	1928
7/15/58 	Broncho Billy Anderson Interview 	  	1958
  	How They Got the Vote 	  	1913
  	Magic Memories 	  	 
  	Peacock Feathers 	Gade, Svend 	1926
7/22/58 	La Boheme 	Vidor, King 	1926
  	Leave 'Em Laughing 	Bruckman, Clyde 	1928
8/19/58 	Golf 	Semon, Larry 	1922
  	The Locked Door 	Fitzmaurice, George 	1929
  	Peter Pan 	Brenon, Herbert 	1925
  	There He Goes 	  	1925
8/26/58 	New York AKA The Big Town 	McGowan, Robert 	1925
  	The White Sister 	King, Henry 	1923
9/16/58 	The Failure 	Griffith, D.W. 	1911
  	The Mollycoddle 	Fleming, Victor 	1920
  	Through Darkened Vales 	Griffith, D.W. 	1911
  	Water Wagons 	Lord, Del 	1926
9/23/58 	Don Juan 	Crosland, Alan 	1926
  	The Three Musketeers 	Niblo, Fred 	1921
10/21/58 	The Count of Monte Cristo 	Fescourt, Henri 	1926
  	Dizzy Heights and Daring Hearts 	Wright, Walter 	1916
  	The Collegians: "Flashing Oars" 	Ruggles, Wesley 	1927
  	The Man with the Punch 	Laemmle, Edward (prod.) 	1920
  	The Pride of Pikeville 	Goulding, Alf 	1927
  	The Sea Ghost 	Stanton, Richard 	1915
  	The Squaw's Love 	Griffith, D.W. 	1911
  	What Happened to Mary? Episode 9: "Way to the Underworld" 	  	1913
10/29/58 	The Gold Rush 	Chaplin, Charlie 	1926
  	The Kid 	Chaplin, Charlie 	1921
  	Recreation 	Chaplin, Charlie 	1914
11/18/58 	Brats 	Parrott, James 	1930
  	Busy Bodies 	French, Lloyd 	1933
  	Flying Elephants 	Roach, Hal 	1927
  	Hog Wild 	Parrott, James 	1930
  	Our Wife 	Horne, James W. 	1931
  	A Perfect Day 	Parrott, James 	1929
  	The Second Hundred Years 	Guiol, Fred 	1927
  	Wrong Again 	McCarey, Leo 	1929
11/25/58 	The Devil's Assistant 	Pollard, Harry 	1917
  	Nell Gwynn 	Wilcox, Herbert 	1925
12/16/58 	All Hands 	Carstairs, John Paddy 	1940
  	Sabotage 	Hitchcock, Alfred 	1936
  	The Wrecker 	Von Bolvary, Geza 	1929
12/23/58 	I Cover the Waterfront 	Cruze, James 	1933
  	She Got What She Wanted 	Cruze, James 	1930
  	Silver Lining 	Crosland, Alan 	1931
1/20/59 	The Housemaster 	Brenon, Herbert 	1938
  	The Painted Desert 	Higgin, Howard 	1930
1/26/59 	The Spanish Dancer 	Brenon, Herbert 	1923
  	The Pony Express 	Cruze, James 	1925
2/6/59 	The Drop Kick 	Webb, Millard 	1927
  	Shore Leave 	Robertson, John S. 	1925
  	Tol'able David 	King, Henry 	1921
  	Way Down East 	Griffith, D.W. 	1920
2/24/59 	Mad Wednesday 	Sturges, Preston 	1947
  	My Pal the King 	Neumann, Kurt 	1932
2/27/59 	Blockheads 	Blystone, John G. 	1938
  	Bumping into Broadway 	Roach, Hal 	1920
  	Girls 	Forde, Eugene 	1927
  	The High and the Flighty 	McKimson, Robert 	1955
  	Movieland 	Taurog, Norman 	1926
  	Once Over Lightly 	  	1944
  	You Can't Cheat an Honest Man 	Marshall, George 	1939
3/17/59 	A Bit of the Best 	Youngson, Robert 	1955
  	County Hospital 	Parrott, James 	1932
  	Sanders of the River 	Korda, Zoltan 	1935
  	The Treasure that Was Lost 	Lee, Sammy 	1944
3/23/59 	Fisher Folk 	Griffith, D.W. 	1911
  	The Well 	O'Sullivan, Anthony 	1913
  	Kid Speed 	Semon, Larry and Noel Mason Smith 	1924
  	The Storm 	Barker, Reginald 	1922
4/21/59 	The Busher 	Storm, Jerome 	1919
  	The Forbidden City 	Franklin, Sidney 	1918
4/28/59 	Crainquebille 	Feyder, Jacques 	1922
  	The Mad Whirl 	Seiter, William A. 	1924
5/19/59 	The Bashful Whirlwind 	Laemmle, Ernst 	1925
